song names
"Stars,2osHMKyJ52uQU3lR59CklT,PRETTYMUCH,5Y8eJDj37KhaEeqbVO7Ag1"
"Quarterback,2OwIGCjx7e7J1HHdAqIv21,Wallows,0NIPkIjTV8mB795yEIiPYL"
"Gasoline (feat. Taylor Swift),645Exr2lJIO45Guht3qyIa,HAIM,4Ui2kfOqGujY81UcPrb5KE"
"WHATDOISAY?,0w69QFnWIwTCwEzI1lxkTC,Maggie Miles,3fU7b1NSQYROvvdepD4PZ0"
"Tangerine,4qzAGRJuc6vOZ7Jsf2wA5W,Tim Atlas,3CiuXDKttPUT0tWGHicFUH"
"Say It Again,3DF9XSRvf0dFT3Om0Rj4KJ,Griff,5RJFJWYgtgWktosLrUDzff"
"Close To You,4ReJJcpW8HtVnqzhf6DwNV,Dayglow,6eJa3zG1QZLRB3xgRuyxbm"
"rubberband,05ABOPiW13nqIedJfqmfPM,Tate McRae,45dkTj5sMRSjrmBSBeiHym"
"Progress,1CpnJ9OyYCxE49qclTBW7E,Great Good Fine Ok,422RLznpwUa5FsQgnTlgUH"
"Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,Lady Gaga,1HY2Jd0NmPuamShAr6KMms"
"If Only for Tonight,3QpriHKwwUMtNttrCs87zO,Vacation Manor,6lcBiGiT3dlyDMjBBtfyfS"
"Talking 2 Myself,0SDpwMNegtR6WExbjosLF9,Billy Vena,7EHqnGuGifQoAa3UV6qtvp"
"Cemetery,5czZkLGepjburbkbEaCfm4,COIN,0ZxZlO7oWCSYMXhehpyMvE"
"Valentine,1TTKyvJ3QFRr84YTNnSMkc,COIN,0ZxZlO7oWCSYMXhehpyMvE"
"Nobody's Baby,6vszzBRAUypoJ8SwmWqHvP,COIN,0ZxZlO7oWCSYMXhehpyMvE"
"1,000,000 X Better,1wYHNvK8jXzA4TASd5bTMU,Griff,5RJFJWYgtgWktosLrUDzff"
"Affection,6XTpwvfm4jwnhhdGhClVRh,Fiji Blue,1e7K8jD3wRuQfnwDAOeGqe"
"homebody,4By9kkp1R1TSmAMckSM3KO,Valley,7blXVKBSxdFZsIqlhdViKc"
"Sort It Out,4zphehG2wo4rF1dIaCIG5t,COIN,0ZxZlO7oWCSYMXhehpyMvE"
"Somewhere,0yTfXjMmoCQVmn2kYjBodD,Hauskey,3xjvEQFNYxMqlh7IAo3MMI"
"OK,0APAKxMXB7jdDs4kw1l30y,Wallows,0NIPkIjTV8mB795yEIiPYL"
"Day by Day,1iAtzizV90sFq9oXw4zONM,Fiji Blue,1e7K8jD3wRuQfnwDAOeGqe"
"Islands,3qcX9BuZQtCEVokWikQHim,rei brown,4N7IToHBlPXqlrXiv1Nij6"
"love, or the lack thereof,07s5wOe2qlyWWsf5I5gRxd,Isaac Dunbar,2sBVpvpeQxK01FqIt5t816"
"HERE'S YOUR SONG,5ipcN7k8N08XaMyd9rcFOO,Chloe Lilac,2CUeVZl8E9ouggdBhyclFx"
"3 Nights,0uI7yAKUf52Cn7y3sYyjiX,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs"
"Pride (with mxmtoon),708HrtYYClY6j6EOiToEBy,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B"
"parachute,3orJ0XpgXRG1LTA521BpDz,John K,73eAAfRkS2Vi4hx68oTJJE"
"Revolving (feat. Marc E. Bassy),2bo4n2JP6aPLAvEO1Yie1B,Yung Bae,30FDJPN3RtwJZ20g5YGCRX"
"hiccup,6IeBWvCA7lMFT1MBx4Avwa,Valley,7blXVKBSxdFZsIqlhdViKc"
"Stay Next To Me (with Chelsea Cutler),6SGG5AxHShqSYiV9fCWpZz,Quinn XCII,3ApUX1o6oSz321MMECyIYd"
"All About You (feat. Foster The People) - Sunset Version,1m8WTqG2DFBMCecwcrHuW1,The Knocks,2x7EATekOPhFGRx3syMGEC"
